id,context,condition,study,human.response,0,0.25,0.5,0.75,1,no,yes,average,decisiveness
1,erasemural,million,blue.house,0.14516129,9,0,1,0,0,9,0,0,0.90
2,blueoutsidedoor,thousand,blue.house,0.174603175,10,0,0,0,0,10,0,0,1.00
3,not.fav.flavor,snack2,lines,0.25,8,1,0,1,0,9,1,0.1,1.00
4,baby,airport,lines,0.255813954,7,0,2,1,0,7,1,0.125,0.80
5,hungry,adult,lines,0.270833333,8,1,1,0,0,9,0,0,0.90
6,smearpoop,million,blue.house,0.274193548,10,0,0,0,0,10,0,0,1.00
7,20_minutes,airport,lines,0.418604651,6,2,0,1,0,8,1,0.111111111,1.00
8,phone,noise,cannonball,0.472972973,9,0,0,1,0,9,1,0.1,1.00
9,drowning,noise,cannonball,0.675675676,7,0,3,0,0,7,0,0,0.70
10,bee,noise,cannonball,0.702702703,6,1,1,0,2,7,2,0.222222222,0.90
11,rain,splash,cannonball,0.703333333,9,0,0,0,1,9,1,0.1,1.00
12,family,deli,lines,0.779069767,5,3,2,0,0,8,0,0,0.80
13,bring.water,adult,lines,0.791666667,7,1,0,0,1,8,1,0.111111111,1.00
14,rotten,snack2,lines,0.840909091,8,0,1,0,0,8,0,0,0.89
15,erasemural,gun,blue.house,0.866666667,10,0,0,0,0,10,0,0,1.00
16,diabetic,deli,lines,0.88372093,4,0,1,2,3,4,5,0.555555556,0.90
