id,context,condition,study,human.response,0,0.25,0.5,0.75,1,no,yes,average,decisiveness
1,erasemural,million,blue.house,0.14516129,10,0,0,0,0,10,0,0,1.00
2,blueoutsidedoor,thousand,blue.house,0.174603175,10,0,0,0,0,10,0,0,1.00
3,not.fav.flavor,snack2,lines,0.25,10,0,0,0,0,10,0,0,1.00
4,baby,airport,lines,0.255813954,10,0,0,0,0,10,0,0,1.00
5,hungry,adult,lines,0.270833333,10,0,0,0,0,10,0,0,1.00
6,smearpoop,million,blue.house,0.274193548,10,0,0,0,0,10,0,0,1.00
7,20_minutes,airport,lines,0.418604651,10,0,0,0,0,10,0,0,1.00
8,phone,noise,cannonball,0.472972973,10,0,0,0,0,10,0,0,1.00
9,drowning,noise,cannonball,0.675675676,9,0,0,0,1,9,1,0.1,1.00
10,bee,noise,cannonball,0.702702703,5,0,0,0,5,5,5,0.5,1.00
11,rain,splash,cannonball,0.703333333,10,0,0,0,0,10,0,0,1.00
12,family,deli,lines,0.779069767,10,0,0,0,0,10,0,0,1.00
13,bring.water,adult,lines,0.791666667,10,0,0,0,0,10,0,0,1.00
14,rotten,snack2,lines,0.840909091,10,0,0,0,0,10,0,0,1.00
15,erasemural,gun,blue.house,0.866666667,10,0,0,0,0,10,0,0,1.00
16,diabetic,deli,lines,0.88372093,10,0,0,0,0,10,0,0,1.00
