id,context,condition,study,human.response,0,0.25,0.5,0.75,1,no,yes,average,decisiveness
1,erasemural,million,blue.house,0.14516129,1,0,9,0,0,1,0,0,0.10
2,blueoutsidedoor,thousand,blue.house,0.174603175,6,1,2,1,0,7,1,0.125,0.80
3,not.fav.flavor,snack2,lines,0.25,1,1,4,1,2,2,3,0.6,0.56
4,baby,airport,lines,0.255813954,10,0,0,0,0,10,0,0,1.00
5,hungry,adult,lines,0.270833333,1,2,3,1,3,3,4,0.571428571,0.70
6,smearpoop,million,blue.house,0.274193548,9,1,0,0,0,10,0,0,1.00
7,20_minutes,airport,lines,0.418604651,9,0,0,0,0,9,0,0,1.00
8,phone,noise,cannonball,0.472972973,4,0,0,1,5,4,6,0.6,1.00
9,drowning,noise,cannonball,0.675675676,0,0,3,0,7,0,7,1,0.70
10,bee,noise,cannonball,0.702702703,0,0,0,0,10,0,10,1,1.00
11,rain,splash,cannonball,0.703333333,2,2,3,0,3,4,3,0.428571429,0.70
12,family,deli,lines,0.779069767,10,0,0,0,0,10,0,0,1.00
13,bring.water,adult,lines,0.791666667,0,1,3,0,6,1,6,0.857142857,0.70
14,rotten,snack2,lines,0.840909091,0,0,2,1,7,0,8,1,0.80
15,erasemural,gun,blue.house,0.866666667,5,1,3,1,0,6,1,0.142857143,0.70
16,diabetic,deli,lines,0.88372093,2,0,2,1,5,2,6,0.75,0.80
